Fish,Image,Value,Location,Shadow Size,Time,Time (New),Month
Bitterling,https://animal-crossing.annabaker.design/img/fish/bitterling.png,900,River,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,November December January February March
Pale Chub,https://animal-crossing.annabaker.design/img/fish/pale-chub.png,160,River,1,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,January February March April May June July August September October November December
Crucian Carp,https://animal-crossing.annabaker.design/img/fish/crucian-carp.png,160,River,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Dace,https://animal-crossing.annabaker.design/img/fish/dace.png,240,River,3,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Carp,https://animal-crossing.annabaker.design/img/fish/carp.png,300,Pond,4,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Koi,https://animal-crossing.annabaker.design/img/fish/koi.png,4000,Pond,4,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Goldfish,https://animal-crossing.annabaker.design/img/fish/goldfish.png,1300,Pond,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Pop-Eyed Goldfish,https://animal-crossing.annabaker.design/img/fish/pop-eyed-goldfish.png,1300,Pond,1,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,January February March April May June July August September October November December
Ranchu Goldfish,https://animal-crossing.annabaker.design/img/fish/ranchu-goldfish.png,4500,Pond,2,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,January February March April May June July August September October November December
Killifish,https://animal-crossing.annabaker.design/img/fish/killifish.png,300,Pond,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August
Crawfish,https://animal-crossing.annabaker.design/img/fish/crawfish.png,200,Pond,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August September
Soft-Shelled Turtle,https://animal-crossing.annabaker.design/img/fish/soft-shelled-turtle.png,3750,River,4,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,August September
Snapping Turtle,https://animal-crossing.annabaker.design/img/fish/snapping-turtle.png,5000,River,5,9 pm - 4 am,12a 1a 2a 3a 4a 9p 10p 11p,April May June July August September October
Tadpole,https://animal-crossing.annabaker.design/img/fish/tadpole.png,100,Pond,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,March April May June July
Frog,https://animal-crossing.annabaker.design/img/fish/frog.png,120,Pond,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,May June July August
Freshwater Goby,https://animal-crossing.annabaker.design/img/fish/freshwater-goby.png,400,River,2,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Loach,https://animal-crossing.annabaker.design/img/fish/loach.png,400,River,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,March April May
Catfish,https://animal-crossing.annabaker.design/img/fish/catfish.png,800,Pond,4,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,May June July August September October
Giant Snakehead,https://animal-crossing.annabaker.design/img/fish/giant-snakehead.png,5500,Pond,5,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,June July August
Bluegill,https://animal-crossing.annabaker.design/img/fish/bluegill.png,180,River,2,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,January February March April May June July August September October November December
Yellow Perch,https://animal-crossing.annabaker.design/img/fish/yellow-perch.png,300,River,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March October November December
Black Bass,https://animal-crossing.annabaker.design/img/fish/black-bass.png,400,River,4,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Tilapia,https://animal-crossing.annabaker.design/img/fish/tilapia.png,800,River,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,June July August September October
Pike,https://animal-crossing.annabaker.design/img/fish/pike.png,1800,River,5,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,September October November December
Pond Smelt,https://animal-crossing.annabaker.design/img/fish/pond-smelt.png,500,River,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February December
Sweetfish,https://animal-crossing.annabaker.design/img/fish/sweetfish.png,900,River,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,July August September
Cherry Salmon,https://animal-crossing.annabaker.design/img/fish/cherry-salmon.png,1000,River (Clifftop) Pond,3,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,March April May June September October November
Char,https://animal-crossing.annabaker.design/img/fish/char.png,3800,River (Clifftop) Pond,3,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,March Aprim May June September October November
